Area,Demand,Season,Time,Situation,Optimization
Vihdintie,Regular,Winter,Weekend,Baseline,
Vihdintie,Regular,Winter,Weekend,Optimized,Equal
Vihdintie,Regular,Winter,Weekend,Optimized,Traffic1
Vihdintie,Regular,Winter,Weekend,Optimized,Traffic2
Vihdintie,High,Summer,Weekday,Baseline,
Vihdintie,High,Summer,Weekday,Optimized,Equal
Vihdintie,High,Summer,Weekday,Optimized,Traffic1
Vihdintie,High,Summer,Weekday,Optimized,Traffic2
Vihdintie,High,Summer,Weekend,Baseline,
Vihdintie,High,Summer,Weekend,Optimized,Equal
Vihdintie,High,Summer,Weekend,Optimized,Traffic1
Vihdintie,High,Summer,Weekend,Optimized,Traffic2
Vihdintie,High,Winter,Weekday,Baseline,
Vihdintie,High,Winter,Weekday,Optimized,Equal
Vihdintie,High,Winter,Weekday,Optimized,Traffic1
Vihdintie,High,Winter,Weekday,Optimized,Traffic2
Vihdintie,High,Winter,Weekend,Baseline,
Vihdintie,High,Winter,Weekend,Optimized,Equal
Vihdintie,High,Winter,Weekend,Optimized,Traffic1
Vihdintie,High,Winter,Weekend,Optimized,Traffic2
